instance,rmp_opt,class,machines,jobs,algorithm,solver,farkas,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
a10100_0.json.gz,1370,a,10,100,LagrangeTemplate,highs,LTFarkas,1,56,1370,1370,0,1370,0,10,109,0.015614,0.021431,0.044676,394,25233.76457,1.169543651,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
a10100_1.json.gz,1326,a,10,100,LagrangeTemplate,highs,LTFarkas,1,47,1325.153846,1326,0,1326,9,10,118,0.013405,0.013438,0.031419,501,37374.11414,0.983544411,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
a10100_2.json.gz,1262,a,10,100,LagrangeTemplate,highs,LTFarkas,1,41,1261.142857,1262,0,1262,14,10,118,0.012719,0.011508,0.028991,504,39625.75674,1.065235984,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
a10100_3.json.gz,1340,a,10,100,LagrangeTemplate,highs,LTFarkas,1,68,1339.5,1340,0,1339.5,0,14,110,0.020404,0.018212,0.043658,447,21907.46912,1.130619748,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
a10100_4.json.gz,1315,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1314.167619,1315,0,1315,10245,10,20,0.000285,0.000847,0.003664,148,519298.2456,7.4,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
a10100_5.json.gz,1346,a,10,100,LagrangeTemplate,highs,LTFarkas,1,45,1345.5,1346,0,1346,0.5,10,115,0.014232,0.01403,0.033003,525,36888.70152,1.16006253,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
a10100_6.json.gz,1331,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1330.652174,1331,0,1331,10316,10,20,0.000339,0.000904,0.003826,146,430678.4661,7.3,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
a10100_7.json.gz,1281,a,10,100,LagrangeTemplate,highs,LTFarkas,1,33,1281,1281,0,1281,0,10,110,0.009574,0.009818,0.023322,346,36139.5446,1.267676768,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
a10100_8.json.gz,1328,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1327.875,1328,0,1328,10241,10,20,0.000353,0.000964,0.003869,147,416430.5949,7.35,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
a10100_9.json.gz,1347,a,10,100,LagrangeTemplate,highs,LTFarkas,1,41,1347,1347,0,1347,0,10,112,0.012992,0.011618,0.028975,440,33866.99507,1.029210221,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
